term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),1.982003599280208,0.0210234481441882,94.27585739916411,0,1.9407931761924957,2.0232140223679207
treated,0.03942497214841711,0.0419247076648255,0.9403756005553343,0.34704871268597304,-0.04275635837579284,0.12160630267262706
post,-1.8299550089981647,0.02973164549335702,-61.54906594076785,0,-1.888235348239938,-1.7716746697563912
female,0.13426334545394963,0.028742479255323923,4.671251364966376,3.0345883655647907e-6,0.07792198210679854,0.19060470880110073
treated:post,0.1233942947125134,0.05929049017812633,2.081181895136979,0.037443832287165135,0.007172342511304053,0.23961624691372274
treated:female,-0.054904515307709706,0.05746411454820083,-0.9554574318143519,0.3393706017616296,-0.1675463834090078,0.05773735279358838
post:female,-0.32458670111648036,0.04064800397910514,-7.985304795859895,1.5635744698153595e-15,-0.4042654212846093,-0.24490798094835142
treated:post:female,-8.44710582052501e-4,0.08126653014382572,-0.010394323229471345,0.9917068963832141,-0.16014436814194763,0.15845494697784265
