Type,Diff.Un,Diff.Adj
Distance,0.2677378630910124,-2.577063139501948e-4
Contin.,-0.010931959599349981,-0.016667322734378882
Contin.,-0.03843129431689003,0.06462046021161152
Contin.,-0.0012427843129528698,0.041747185055714654
Binary,-0.06488247383449663,-0.02204323866047897
Binary,0.05984803652048121,-2.1195421789492463e-4
Binary,0.021854601738257762,0.005934718100883307
Binary,-0.015519758843200976,0.01250529885544252
Binary,0.002341756006885131,4.239084357774304e-4
Binary,-0.00364216158792649,0.0033912674862206713
Binary,0.004830177803706648,0.03476049173374479
Contin.,0.06448242838094854,0.043021833650945265
Contin.,0.059539173640174095,0.017617114469805375
Contin.,-0.11069141357912023,0.06025114380268808
