term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.0352035203517844,0.01998733326663624,101.82466531185719,0,1.9960254383143183,2.0743816023892507
treated,-0.007437517808596064,0.0235251232491672,-0.31615212935640435,0.7518920900945971,-0.05355018308024923,0.03867514746305711
post,-2.075821232122988,0.02826635778135456,-73.4378743869247,0,-2.131227407088151,-2.0204150571578245
treated:post,0.062188972691262855,0.03326954835547844,1.8692460753234812,0.06161093550348636,-0.003024183933094733,0.12740212931562045
