Type,Diff.Un,Diff.Adj
Distance,0.2676724332918624,-4.358941876926656e-4
Contin.,-0.010931959599349981,-0.04465388645333555
Contin.,-0.03843129431689003,0.09000220191564495
Contin.,-0.0012427843129528698,0.060649979116159755
Binary,-0.06488247383449663,0.0029673590504099012
Binary,0.05984803652048121,-0.00233149639678433
Binary,0.021854601738257762,0.00148367952521547
Binary,-0.015519758843200976,0.008796100042385971
Binary,0.002341756006885131,-0.003603221704112586
Binary,-0.00364216158792649,-0.007312420517171202
Contin.,0.06448242838094854,0.07079607232066937
Contin.,0.059539173640174095,0.061548801724763624
Contin.,-0.11069141357912023,0.05109907132631591
