Type,Diff.Un,Diff.Adj
Distance,0.3260294733284909,0.07209916163100516
Contin.,0.052360833917907794,0.011820624414573721
Contin.,0.12535621603666425,0.02045354355542374
Contin.,0.12577906427871133,0.018683861914622686
Binary,0.02283571685754371,-0.006136680613668011
Binary,0.038646792041872935,0.013389121338912235
Binary,-0.034888373734704256,-0.005299860529985934
Binary,-0.01776708448548335,-0.0016736401673639045
Binary,-0.006168665894526615,8.368200836820135e-4
Binary,-0.002658384784702407,-0.0011157601115758878
Contin.,0.18076941325102985,0.03192114844877005
Contin.,0.13037129156956453,0.020678804523886724
Contin.,-0.18501038874521059,-0.03867155785050066
