term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),2.0538354253836237,0.014402328050828746,142.60440521388074,0,2.0256038052960257,2.082067045471222
treated,0.009762900976284131,0.02880465610165602,0.33893482157292093,0.734666278816694,-0.046700339198909493,0.06622614115147776
post,-2.0036111576010804,0.020367967659228346,-98.37069614028387,0,-2.043536697616726,-1.9636856175854345
treated:post,0.12412245467226003,0.04073593531845674,3.047001466933848,0.0023176743349663195,0.044271374640968114,0.20397353470355195
